"","","CA/HCC/226-228/19","",""
"","","Vs.","",""
"","","The Hon. Attorney General","",""
"","","Attorney General's Department","",""
"","","Colombo-12","",""
"","","","RESPONDENT",""
"B
EFORE",":","P. Kumararatnam, J.","",""
"","","R. P. Hettiarachchi, J.","",""
"C
OUNSEL                  :","","","Jagath Nanayakkara for the 1st Appellant.",""
"","","","Nihara Randeniya for the 2nd Appellant.",""
"","","","K.A. Upul Anuradha Wickramaratne for the",""
"","","3rd Appellant.","",""
"","","","Maheshika Silva, DSG for the Respondent.",""
"A
RGUED ON",":","15/07/2025, and 17/07/2025","",""
"D
ECIDED ON",":","02/09/2025","",""
"","","******************************","",""
"","","JUDGMENT","",""
"P. Kumararatnam, J.","","","",""
"The  above-named  Accused-Appellants","","(hereinafter 
referred","to  as","the"
"Appellants) were indicted in the High Court of Chilaw for committing murder","","","",""
"","","","","2"
