"9.","Leslie Shelton  Devendra"
"10. Suresh Shah",""
"11. Sanath Jayantha  Ediriweera",""
"12. V. Regunathan",""
"13. Kamal  Mustapha",""
"14. Prof.  Gunapala Nanayakkara",""
"15. Sujatha Cooray",""
"16. Gerry Jayawardena",""
"17. Thillai Nadarajah",""
"18.  Dr. Anura Ekanayake",""
"19. Sembakuttige Swarnajothi",""
"20.  P. K. U.  Nilantha Piyaratna",""
"21.  N.H . Pathirana",""
"22. H.T Dayananda",""
"23. T.B. Maduwegedara",""
"24. Dr.  Wimal Karandagoda",""
"25. Suranga  Naullage",""
"26. Weligodage Kumarawansa  de Silva",""
"","All of National Salaries and Cadre Commission"
